Latin;English;References;English Latin Pair Matches;Misspelling
A;A;;;
Ab-apud;From;;TRUE;
Ab;From; H.75.;TRUE;
Abactio;Driving away, A;;;
Abaddon;Abaddon;;TRUE;
Abalienare;Alienate; E.710:17. 768:24.;TRUE;
Abalienatio;Alienation;;TRUE;
Abbreviare;Shorten;;TRUE;
Abdeel;Adbeel;;TRUE;
Abdere;Hide;;TRUE;
Abdicare;Renounce;;TRUE;
Abdicatio;Renunciation;;TRUE;
Abdomen;Abdomen;;TRUE;
Abducere;Draw away; See also under Lead - ducere. A. 9164. E. 1162:2.;TRUE;
Abductio;Drawing away, A;;;
Abel;Abel;;;
Aberrare;Wander;;TRUE;
Abib;Abib;;TRUE;
Abies;Fir;;TRUE;
Abigere;Drive away;;TRUE;
Abihu;Abihu;;;
Abimael;Abimael;;TRUE;
Abimelech;Abimelech;;TRUE;
Abire;Go away, To;;;
Ablactare;Wean, To;;;
Ablatio;Taking away, A; A.9150.;TRUE;
Ablegare;Banish, To;;;
Abluere;Wash away, To;;;
Ablutio;Washing off, A;;TRUE;
Abnegare;Deny;;TRUE;
Abolere;Abolish;;TRUE;
Abolitio;Abolition;;TRUE;
Abominabilis;Abominable; T. 628.;TRUE;
Abominatio;Abomination; E. 827:5.;TRUE;
Abortiri;Abort; E. 710:3.;TRUE;
Abortus;Abortion; T. 183. 367.;TRUE;
Abradere;Shave off;;TRUE;
Abraham, Abram;Abraham, Abram;;;
Abripere;Pluck off;;TRUE;
Abrogare;Abrogate; E.274:4.;TRUE;
Abscessus;Abscess; A. 7524.;TRUE;
Abschalom;Absalom;;TRUE;
Abscindere;Cut off, To;;;
Abscondere;Hide; A.9125.;TRUE;
Absconsio;Hiding, A;;;
Absens;Absent;;TRUE;
Absentia;Absence;;TRUE;
Absinthium;Wormwood;;TRUE;
Absit;Far be it;;TRUE;
Absolutio;Absolution; A.9333:2.;TRUE;
Absolutus;Absolute; D. 3550.;TRUE;
Absolvere;Absolve;;TRUE;
Absonus;Absurd; A. 8918.;TRUE;
Absorbere;Absorb; E. 331:2.;TRUE;
Abstentia;Abstinence;;TRUE;
Absterere;Deter; A. 8452.;;TRUE
Abstergere;Wipe away;;TRUE;
Abstersio;Wiping away, A;;;
Abstinere;Abstain, To;;;
Abstrusus;Abstruse;;TRUE;
Abstracte;Abstractedly;;TRUE;
Abstractio;Abstraction;;TRUE;
Abstractus;Abstract; E. 1124:2. D.Wis. Vii.5:3.;;
Abstrahere;Abstract, To;;;
Absurditas;Absurditas;;;
Abundantia;Abundance;;;
Abusus;Abuse;;TRUE;
Abuti;Abuse, To;;;
Abyssinia;Abyssinia;;TRUE;
Abyssus;Deep, A;;;
Academia;Academy;;;
Accedere;Approach, To;;;
Accelerare;Hasten; M.304e.;;
Accendere;Kindle;;;
Accentus;Accent;;TRUE;
Acceptare;Accept; A. 6784e. E. 328:13.;TRUE;
Acceptatio;Acceptance;;TRUE;
Accessio, Accessus;Approach, An;;;
Accessorium;Accessory, An; E. 1112:3.;;
Accidentia;Accident, An (see Happen - accidere);;;
Accidere;Happen;;TRUE;
Accingere;Gird;;;
Accipere;Receive;;TRUE;
Accipiter;Hawk, A;;;
Acclamatio;Shouting, A;;TRUE;
Accola;Neighbour;;TRUE;
Accommodare;Accommodate;;TRUE;
Accommodatio;Accommodation;;TRUE;
Accrescere;Grow;;TRUE;
Accuratus;Accurate;;TRUE;
Accusare;Accuse;;TRUE;
Accusator;Accuser;;TRUE;
Acerbitas;Sharpness;;TRUE;
Acervus;Heap, A;;;
Acescens;Sour;;;
Acetabulum;Socket, A;;;
Acetosus;Sour;;;
Acetum;Vinegar;;TRUE;
Achan;Achan;;TRUE;
Achasus;Ahaz; E. 706:16.;;
Achates;Agate, An;;;
Acheron;Acheron;;TRUE;
Achor;Achor; E. 1083.;TRUE;
Achusath;Ahusath;;TRUE;TRUE
Acies;Keenness of sight;;TRUE;
Aconitum;Aconite;;TRUE;
Acquirere;Acquire;;TRUE;
Acquisitio;Acquisition;;TRUE;
Actio;Action (see Act); E. 1080:2. D.Wis. Vii. 4:2.;;
Activitas;Activity; D.Love 20.;TRUE;
Activus;Active;;TRUE;
Actualis;Actual;;TRUE;
Actualitas;Actuality; A. 9009:3. D. 3892e.;TRUE;
Actualiter;Actually; H. 118. 121. 203:2. M.306:2.;TRUE;
Actuare;Actuate;;TRUE;
Actus;Act, An; E.901. D.Love 19:2.;;
Actutum;Immediately; T. 367:4. 484e. 607.;;
Aculeatus;Pointed;;TRUE;
Aculeus;Point;;TRUE;
Acumen;Acumen; A. 8878. D. 4115. 4751. E.802:6.;TRUE;
Acuminare;Sharpen;;;
Acupictor;Embroiderer, An;;;
Acupictura;Embroidery;;TRUE;
Acupingere;Embroider;;TRUE;
Acus;Needle, A;;;
Acute;Acutely (see Sharp);;;
Acutus;Sharp;;TRUE;
Ad;To;;TRUE;
Adaequare;Adapt;;TRUE;
Adah;Adah;;TRUE;
Adam;Adam; E. 736:6.;TRUE;
Adamantinus;Adamantine (see Diamond);;;
Adamare;Love, To;;;
Adamas;Diamond; T. 110:5;TRUE;
Adamicus, Adamiticus;Adamic, Adamitic;;;TRUE
Adaptare;Adapt; H.282.;;
Adaptatio;Adaptation; A. 9399.;;
Adaugere;Grow;;;
Adblandimentum;Blandishment (see Flatter);;;
Adblandiri;Flatter;;;
Addere;Add;;TRUE;
Addicare;Ascribe; E. 1138:6.;;
Addicatio;Ascription; (devotedness). M. 306:3;TRUE;
Addicere;Attach; H.74. T. 448. 455a. 516.;TRUE;
Addiscere;Learn;;;
Additamentum;Additament (see Add); T. Index General, at the end.;;
Adducere;Bring; A. 7643. 8705.;TRUE;
Adelheim;Adelheim;;;
Adeps;Fat;;TRUE;
Adesse;Present, To be;;TRUE;
Adhaerere;Cleave;;;
Adhuc;Still; T. 457. 607:3.;;
Adiaphoron;Indifference, Matter of;;TRUE;
Adigere;Drive, To;;;
Adimere;Take away;;;
Adipiscere;Attain; H.356. T. 160:6. 331. 423e. 640:2. E.193.;TRUE;
Adire;Approach, To;;;
Aditus;Approach, An;;;
Adjunctio;Adjunction;;TRUE;
Adjungere;Adjoin;;TRUE;
Adjurare;Adjure;;TRUE;
Adjuratio;Adjuration;;TRUE;
Adjutrix;Concurrent; D. 6054.;TRUE;
Adjuvare;Assist; A. 8248. 8719. E.764.;TRUE;
Adlerheim;Adlerheim;;;
Adma;Admah;;TRUE;
Adminiculum;Aid, An;;;
Administrare;Administer;;TRUE;
Administratio;Administration; D.Love 12. D.Wis.11:4.;TRUE;
Administrator;Administrator;;TRUE;
Administrum;Instrument; J. 30.;;
Admirare;Wonder, To;;;
Admiratio;Wonder;;TRUE;
Admissio;Admission;;TRUE;
